chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_11	2430954	2444709	2	1,7	1	0	0	0	0	0	1	0
jlSCF_11	2444709	2458929	1	7	0	0	0	0	0	0	1	0
jlSCF_11	2492314	2694782	1	7	0	0	0	0	0	0	1	0
jlSCF_11	2821338	2866271	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_11	2986175	3170704	1	7	0	0	0	0	0	0	1	0
jlSCF_11	3170704	3682718	5	2,3,6,7,8	0	1	1	0	0	1	1	1
jlSCF_11	3682718	3744743	4	2,3,6,7	0	1	1	0	0	1	1	0
jlSCF_11	3744743	3762815	1	7	0	0	0	0	0	0	1	0
jlSCF_11	4061369	4083637	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_11	4110997	4426633	1	7	0	0	0	0	0	0	1	0
jlSCF_11	4755848	4790917	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_11	4922410	4939789	4	1,2,3,8	1	1	1	0	0	0	0	1
jlSCF_11	5533650	5621716	1	7	0	0	0	0	0	0	1	0
jlSCF_11	5700396	5953787	1	7	0	0	0	0	0	0	1	0
jlSCF_11	5953787	6058966	4	1,5,7,8	1	0	0	0	1	0	1	1
jlSCF_11	6058966	6098914	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_11	6098914	6150485	6	1,2,5,6,7,8	1	1	0	0	1	1	1	1
jlSCF_11	6150485	6175898	4	2,5,6,7	0	1	0	0	1	1	1	0
jlSCF_11	6175898	6250995	6	1,2,5,6,7,8	1	1	0	0	1	1	1	1
jlSCF_11	6250995	6272158	5	1,2,5,6,8	1	1	0	0	1	1	0	1
jlSCF_11	6272158	6274445	3	1,2,8	1	1	0	0	0	0	0	1
jlSCF_11	6274445	6310026	1	2	0	1	0	0	0	0	0	0
jlSCF_11	6397018	6416732	1	7	0	0	0	0	0	0	1	0
jlSCF_11	6845944	6852062	1	7	0	0	0	0	0	0	1	0
jlSCF_11	7998034	8021105	1	2	0	1	0	0	0	0	0	0
jlSCF_11	8021105	8059389	2	2,4	0	1	0	1	0	0	0	0
jlSCF_11	8059389	8079036	1	2	0	1	0	0	0	0	0	0
jlSCF_11	8457896	8476681	3	3,6,8	0	0	1	0	0	1	0	1
jlSCF_11	8476794	8490856	1	7	0	0	0	0	0	0	1	0
jlSCF_11	8847270	8880534	1	1	1	0	0	0	0	0	0	0
jlSCF_11	9179311	9193797	1	6	0	0	0	0	0	1	0	0
jlSCF_11	9193797	9266194	2	6,7	0	0	0	0	0	1	1	0
jlSCF_11	9266194	9268917	1	6	0	0	0	0	0	1	0	0
jlSCF_11	9268917	9275722	2	3,6	0	0	1	0	0	1	0	0
jlSCF_11	9275722	9296473	1	6	0	0	0	0	0	1	0	0
jlSCF_11	9296473	9359240	2	6,7	0	0	0	0	0	1	1	0
jlSCF_11	9359240	9422646	4	1,3,6,7	1	0	1	0	0	1	1	0
jlSCF_11	9422646	9464453	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_11	9464453	9515198	3	1,6,7	1	0	0	0	0	1	1	0
jlSCF_11	9515198	9555580	2	6,7	0	0	0	0	0	1	1	0
jlSCF_11	9555580	9578925	3	1,6,7	1	0	0	0	0	1	1	0
jlSCF_11	9578925	9631542	2	6,7	0	0	0	0	0	1	1	0
jlSCF_11	9631542	9635720	1	6	0	0	0	0	0	1	0	0
jlSCF_11	9735460	10130478	1	7	0	0	0	0	0	0	1	0
jlSCF_11	10229467	10355872	1	7	0	0	0	0	0	0	1	0
jlSCF_11	10750180	10832213	1	6	0	0	0	0	0	1	0	0
jlSCF_11	15150483	15219729	1	7	0	0	0	0	0	0	1	0
jlSCF_11	15373222	15620828	1	7	0	0	0	0	0	0	1	0
jlSCF_11	15879555	15911487	1	7	0	0	0	0	0	0	1	0
jlSCF_11	15911487	15985542	7	1,3,4,5,6,7,8	1	0	1	1	1	1	1	1
jlSCF_11	15985542	16006305	3	5,6,7	0	0	0	0	1	1	1	0
jlSCF_11	16006305	16042381	2	5,6	0	0	0	0	1	1	0	0
jlSCF_11	16042381	16114486	3	2,5,6	0	1	0	0	1	1	0	0
jlSCF_11	16114486	16279662	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_11	16279662	16287294	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_11	16287294	16319185	2	2,7	0	1	0	0	0	0	1	0
jlSCF_11	16319185	16520748	1	2	0	1	0	0	0	0	0	0
jlSCF_11	16520748	16662079	2	2,7	0	1	0	0	0	0	1	0
jlSCF_11	16662079	16678270	4	2,3,7,8	0	1	1	0	0	0	1	1
jlSCF_11	16678270	16748986	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_11	16748986	16887252	2	2,7	0	1	0	0	0	0	1	0
jlSCF_11	16887252	16941727	1	7	0	0	0	0	0	0	1	0
jlSCF_11	16941727	17000419	2	2,7	0	1	0	0	0	0	1	0
jlSCF_11	17000419	17120587	1	2	0	1	0	0	0	0	0	0
jlSCF_11	17120587	17354344	2	2,7	0	1	0	0	0	0	1	0
jlSCF_11	17354344	17631413	1	2	0	1	0	0	0	0	0	0
jlSCF_11	17673663	17706818	1	2	0	1	0	0	0	0	0	0
jlSCF_11	17745892	17939105	1	2	0	1	0	0	0	0	0	0
jlSCF_11	18017539	18085608	1	2	0	1	0	0	0	0	0	0
jlSCF_12	293179	335957	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_12	428550	587146	1	7	0	0	0	0	0	0	1	0
jlSCF_12	587146	627608	4	1,4,7,8	1	0	0	1	0	0	1	1
jlSCF_12	627608	707913	5	1,4,6,7,8	1	0	0	1	0	1	1	1
